"Remove Duplicates"|"Two Pointers"
"Middle of a Linked List"|"Two Pointers"
"Move Zeros"|"Two Pointers"
"Two Sum Sorted"|"Two Pointers"
"Valid Palindrome"|"Two Pointers"
"Longest Substring without Repeating Characters"|"Two Pointers"
"Vanilla Boundary"|"Binary Search"
"Finding Boundary"|"Binary Search"
"First Element Not Smaller Than Target"|"Binary Search"
"First Occurrence"|"Binary Search"
"Square Root"|"Binary Search"
"Minimum in Rotaded Sorted Array"|"Binary Search"
"Peak of a Mountain Array"|"Binary Search"
"Capital Indexes"|"Pure Logic"
"Double Letters"|"Pure Logic"
"Fibonacci Sequence"|"Pure Logic"
"Middle Letter"|"Pure Logic"
"Online Count"|"Pure Logic"
"Only INTs"|"Pure Logic"
"Randomness"|"Pure Logic"
"Sum of Multiples"|"Pure Logic"